delay,stdConcurrency,memorySize,userMemory,averageWaitTime,averageUserSideDelay,averageStartLatency,averageInitTime,averageDuration,achievedAverageRate,stdDevDuration,stdDevInitTime,stdDevStartLatency,stdDevUserSideDelay,stdDevWaitTime,successPercentage,coldStarts
4000,5,2048,6144, 882.69, 1157.17, 895.64, 9.45, 261.52, 12.37, 169.26, 60.52, 2954.01, 3114.14, 2943.3, 100, 1
4000,5,2048,4096, 1015.17, 1311.21, 1028.26, 4.79, 282.95, 12.37, 183.91, 30.64, 3311.66, 3466.39, 3300.36, 100, 1
4000,5,4096,8192, 712.21, 964.4, 725.5, 4.36, 238.9, 12.44, 99.45, 27.9, 2518.37, 2593.75, 2507.02, 100, 1
4000,5,4096,6144, 811.05, 1081.64, 823.48, 0.79, 258.17, 12.4, 112.5, 5.03, 2781.32, 2870.12, 2770.79, 100, 1
4000,5,4096,4096, 815.02, 1068.55, 827.55, 4.6, 241, 12.38, 101.77, 29.42, 2741.78, 2828.78, 2730.77, 100, 1
4000,10,1024,8192, 812.43, 1106.4, 825.14, 24.55, 281.26, 12.41, 249.99, 157.18, 2749.15, 2970.84, 2738.95, 100, 1
4000,10,1024,6144, 794.24, 1073.34, 806.76, 19.76, 266.59, 12.26, 176.62, 124.95, 2593.68, 2745.18, 2583.1, 100, 1
4000,10,1024,4096, 995.39, 1312.68, 1009.05, 11.17, 303.63, 12.3, 177.8, 70.65, 3223.77, 3387.37, 3212.59, 100, 1
4000,10,2048,8192, 980.5, 1266.21, 993.07, 4.67, 273.14, 12.43, 170.42, 29.88, 3236.79, 3371.9, 3226.42, 100, 1
4000,10,2048,6144, 778.19, 1046.57, 791.55, 13.05, 255.02, 12.45, 150.31, 83.55, 2666.43, 2801.48, 2655.68, 100, 1
4000,10,2048,4096, 748.12, 1034.38, 761.74, 12.02, 272.64, 12.36, 168.3, 76.99, 2579.54, 2716.12, 2566.79, 100, 1
4000,10,4096,8192, 657.9, 925.86, 670.29, 18.31, 255.57, 12.43, 179.99, 117.24, 2324, 2488.15, 2312.69, 100, 1
4000,10,4096,6144, 673.07, 961.69, 689.57, 8.55, 272.12, 12.5, 115.57, 54.73, 2334.19, 2438.26, 2323.21, 100, 1
4000,10,4096,4096, 759.68, 1024.66, 772.9, 3.39, 251.76, 12.27, 115.19, 21.44, 2622.05, 2715.7, 2610.73, 100, 1
9000,1,1024,6144, 4327.71, 5049.18, 4345.71, 242.18, 703.47, 5.05, 710.48, 557.24, 9530.17, 10113.68, 9527.7, 100, 3
9000,1,1024,4096, 3779, 4563.71, 3800.94, 131.06, 762.76, 5.09, 1180.04, 340.51, 8173.37, 9106.79, 8154.04, 100, 3
9000,1,2048,8192, 1690.89, 2086.78, 1710.39, 46.33, 376.39, 5.24, 293.34, 181.11, 4640.8, 4932.33, 4626.96, 100, 2
9000,1,2048,6144, 3599.82, 4146.94, 3621, 35.82, 525.94, 5.08, 656.63, 123.34, 7725.1, 7857.87, 7711.57, 100, 3
9000,1,2048,4096, 3233.79, 3711.16, 3255.47, 162, 455.68, 5.51, 511.3, 433.89, 7401.58, 7887.46, 7388.86, 100, 3
9000,1,4096,8192, 4052.17, 4706.11, 4066.67, 282.61, 639.44, 5.2, 826.2, 709.17, 9151.12, 9959.77, 9147.67, 100, 3
9000,1,4096,6144, 3441.17, 4042.06, 3461.94, 24.94, 580.11, 5.23, 993.72, 85.7, 7710.59, 8416.71, 7697.11, 100, 3
9000,1,4096,4096, 1536.44, 1872.72, 1553.94, 27.22, 318.78, 5.22, 248.13, 105.64, 4276.8, 4427.58, 4264.57, 100, 2
9000,5,1024,8192, 1072.83, 1381.5, 1089.89, 2.33, 291.61, 5.35, 110.8, 9.62, 3298.88, 3391.58, 3276.68, 100, 1
9000,5,1024,6144, 1379.89, 1691.44, 1398, 17.22, 293.44, 5.37, 125.7, 71.01, 3992.64, 4083.13, 3970.71, 100, 1
9000,5,1024,4096, 1149.56, 1471.56, 1167.28, 39.28, 304.28, 5.3, 210.27, 161.95, 3430.84, 3635.55, 3410.88, 100, 1
9000,5,2048,8192, 1507.44, 1819.06, 1526.72, 9.56, 292.33, 5.26, 114.87, 39.4, 4396.37, 4497.53, 4376.55, 100, 1
9000,5,2048,6144, 821.78, 1125.56, 839.83, 2.39, 285.72, 5.31, 98.8, 9.85, 2678.86, 2740.33, 2656.4, 100, 1
9000,5,2048,4096, 1110.11, 1415.67, 1127.17, 42.78, 288.5, 5.28, 194.2, 176.38, 3324.76, 3508.26, 3303.78, 100, 1
9000,5,4096,8192, 872, 1215.5, 890.89, 35.72, 324.61, 5.33, 200.28, 147.29, 2660.98, 2844.15, 2641.51, 100, 1
9000,5,4096,6144, 847.83, 1199.61, 864.94, 43.44, 334.67, 5.32, 238.1, 179.13, 2680.53, 2877.76, 2661.6, 100, 1
9000,5,4096,4096, 986.94, 1277.12, 1005.18, 11.06, 271.94, 5.05, 91.37, 44.24, 2943.27, 3021.38, 2919.63, 100, 1
9000,10,1024,8192, 1509.17, 2486.89, 1530.56, 20.89, 956.33, 5.27, 1383.04, 86.13, 4221.96, 4336.63, 4203.05, 100, 1
9000,10,1024,6144, 8465.5, 10350.25, 8480.75, 5.75, 1869.5, 2.36, 1590.72, 15.21, 11018.69, 12284.57, 11018.48, 100, 1
9000,10,1024,4096, 6497.41, 8210.06, 6516.18, 40.88, 1693.88, 4.88, 2056.28, 163.53, 12080.62, 13876.1, 12061.55, 100, 1
9000,10,2048,8192, 3645.92, 5420.77, 3676.62, 130.23, 1744.15, 3.79, 2353.58, 451.13, 7230.36, 9396.78, 7180.65, 100, 1
9000,10,2048,6144, 1400.67, 2567.89, 1417.11, 69.28, 1150.78, 5.25, 2017.56, 285.64, 4050.67, 5852.24, 4029.53, 100, 1
9000,10,2048,4096, 1088.78, 1580.56, 1147.89, 57.56, 432.67, 5.24, 561.29, 237.31, 3367.62, 3924.89, 3190.23, 100, 1
9000,10,4096,8192, 1141.32, 1662.11, 1157.26, 1.89, 504.84, 5.48, 371.73, 8.04, 3508.44, 3544.2, 3489.93, 100, 1
9000,10,4096,6144, 897.17, 1664.44, 929.22, 58.28, 735.22, 5.23, 769.2, 240.29, 2699.7, 3072.25, 2672.7, 100, 1
9000,10,4096,4096, 978.72, 1630.44, 1016.33, 87.17, 614.11, 5.32, 625.69, 359.4, 2960.01, 3487.64, 2857.64, 100, 1
